Date,ID,SYMBOL,MIC,FREE_FLOAT_PERCENTAGE,EST_VOL,MDV_63,Open,High,Low,Close,Volume,PxAdjFactor,SharesAdjFactor
20140805,BBG000C3JJC4,PL,XNYS,98.4136,0.28197,59958400.0,69.42,69.43,69.38,69.41,904882.0,1.1968358,1.0
20140805,BBG001J1QN87,ICPT,XNGS,58.976,0.88273,100261784.0,227.85,232.66,225.02,227.04,201873.0,1.0,1.0
20140805,BBG000BV7LP7,SWY,XNYS,98.2229,0.12437,60381804.0,34.38,34.43,34.38,34.4,2042793.0,1.3073531,1.0
20140805,BBG000PTLGZ1,LEA,XNYS,99.8247,0.14859,59618736.0,94.51,95.74,94.18,94.54,632959.0,2.0808835,0.5
20140805,BBG000DLVDK3,AEM,XNYS,99.8475,0.3244599999999999,59665816.0,36.86,37.88,36.72,37.6,1826623.0,1.0748597,1.0
20140805,BBG000BFV115,SM,XNYS,98.3685,0.2282499999999999,60706576.0,80.64,81.2168,77.81,78.7,980556.0,1.0155218,1.0
20140805,BBG000JB27Y9,CFN,XNYS,99.6103,0.1537099999999999,59973520.0,43.62,43.63,42.85,42.9,4820929.0,1.0,1.0
20140805,BBG000QN5184,TRLA,XNYS,93.1736,0.48922,64131784.0,60.63,60.7,56.6,58.58,2986013.0,1.0,1.0
20140805,BBG000B9X8C0,AEE,XNYS,99.6619,0.10613,60469188.0,38.6,38.6,37.08,37.41,2640510.0,1.4275684,1.0
20140805,BBG000PCQQL6,LINTA,XNGS,98.2019,0.1497099999999999,61398428.0,27.11,27.95,26.975,27.31,4359461.0,1.1186945,1.0
20140805,BBG000H4YVR7,MDVN,XNGS,97.4078,0.31596,62012524.0,76.4,78.02,76.12,77.69,666211.0,2.0,0.5
20140805,BBG002293PJ4,RH,XNYS,87.0058,0.44395,69563060.0,82.4,83.46,81.12,81.88,919331.0,1.0,1.0
20140805,BBG000BWXL85,RHT,XNYS,99.228,0.1877799999999999,61276748.0,58.2,58.84,58.03,58.44,977027.0,1.0,1.0
20140805,BBG000BG14P4,CREE,XNGS,98.3745,0.39527,61997304.0,47.3,48.5799,46.96,48.02,1085605.0,1.0,1.0
